ts_code,trade_date,open,high,low,close,pre_close,change,pct_chg,vol,amount,name
600519.SH,20230517,1708.0,1713.0,1699.01,1701.0,1703.29,-2.29,-0.1344,16776.91,2858697.942,贵州茅台
002304.SZ,20230517,144.3,144.86,141.25,141.8,144.38,-2.58,-1.787,39322.06,560074.443,洋河股份
000858.SZ,20230517,170.0,170.9,168.75,169.34,170.49,-1.15,-0.6745,86021.5,1458848.098,五粮液
000596.SZ,20230517,278.19,280.0,273.05,274.67,279.71,-5.04,-1.8019,9121.47,250860.31,古井贡酒
000568.SZ,20230517,213.0,213.95,209.0,210.0,213.0,-3.0,-1.4085,49743.9,1048624.716,泸州老窖
600809.SH,20230518,230.88,230.97,225.16,227.14,230.2,-3.06,-1.3293,43444.08,988672.401,山西汾酒
600519.SH,20230518,1704.99,1705.4,1690.0,1691.0,1701.0,-10.0,-0.5879,19219.28,3260170.684,贵州茅台
002304.SZ,20230518,142.0,142.79,140.49,141.23,141.8,-0.57,-0.402,27673.39,391460.255,洋河股份
000858.SZ,20230518,169.49,170.71,168.0,168.66,169.34,-0.68,-0.4016,87803.86,1484050.324,五粮液
000596.SZ,20230518,274.8,281.88,274.0,277.76,274.67,3.09,1.125,12226.74,339971.815,古井贡酒
000568.SZ,20230518,209.19,210.9,206.5,207.37,210.0,-2.63,-1.2524,55166.31,1148456.818,泸州老窖
600809.SH,20230519,225.99,232.66,223.0,232.28,227.14,5.14,2.2629,57555.58,1316543.211,山西汾酒
600519.SH,20230519,1671.0,1704.33,1655.55,1699.5,1691.0,8.5,0.5027,26741.16,4504022.549,贵州茅台
002304.SZ,20230519,141.1,143.2,139.2,142.03,141.23,0.8,0.5665,28375.41,401995.441,洋河股份
000858.SZ,20230519,168.09,171.26,166.75,170.8,168.66,2.14,1.2688,120745.86,2048104.075,五粮液
000596.SZ,20230519,276.66,279.74,270.2,276.99,277.76,-0.77,-0.2772,10498.48,287771.173,古井贡酒
000568.SZ,20230519,206.82,214.24,204.29,213.15,207.37,5.78,2.7873,71901.2,1513798.333,泸州老窖
600809.SH,20230522,220.0,225.73,209.05,224.99,232.28,-7.29,-3.1385,197947.19,4325552.29,山西汾酒
600519.SH,20230522,1690.01,1752.0,1690.0,1746.0,1699.5,46.5,2.7361,41284.32,7165754.129,贵州茅台
002304.SZ,20230522,142.78,147.5,141.21,146.29,142.03,4.26,2.9994,66116.72,963111.465,洋河股份
000858.SZ,20230522,170.89,179.06,169.08,177.61,170.8,6.81,3.9871,302445.22,5326580.958,五粮液
000596.SZ,20230522,275.0,290.0,271.9,286.01,276.99,9.02,3.2564,16672.81,474066.815,古井贡酒
000568.SZ,20230522,212.6,228.0,212.17,224.0,213.15,10.85,5.0903,121863.41,2709666.223,泸州老窖
600809.SH,20230523,221.0,223.0,211.6,213.78,224.99,-11.21,-4.9824,167034.79,3610275.063,山西汾酒
600519.SH,20230523,1753.99,1754.0,1724.55,1724.55,1746.0,-21.45,-1.2285,16894.21,2934118.394,贵州茅台
002304.SZ,20230523,146.0,146.75,143.3,143.3,146.29,-2.99,-2.0439,35118.29,507209.311,洋河股份
000858.SZ,20230523,177.8,178.5,174.0,174.0,177.61,-3.61,-2.0325,136724.31,2402618.291,五粮液
000596.SZ,20230523,286.02,287.85,279.94,280.58,286.01,-5.43,-1.8985,10728.27,303116.91,古井贡酒
000568.SZ,20230523,222.0,226.3,219.5,220.7,224.0,-3.3,-1.4732,55465.43,1230920.605,泸州老窖
600809.SH,20230524,211.0,219.11,210.82,215.4,213.78,1.62,0.7578,74870.93,1619737.979,山西汾酒
600519.SH,20230524,1732.33,1733.55,1710.11,1710.9,1724.55,-13.65,-0.7915,18479.27,3182416.491,贵州茅台
002304.SZ,20230524,142.8,142.89,140.34,140.54,143.3,-2.76,-1.926,37195.43,526053.42,洋河股份
000858.SZ,20230524,173.52,173.98,170.35,170.35,174.0,-3.65,-2.0977,133550.66,2297763.605,五粮液
000596.SZ,20230524,278.98,280.47,274.0,274.55,280.58,-6.03,-2.1491,9300.13,257195.235,古井贡酒
000568.SZ,20230524,220.13,222.99,217.7,217.72,220.7,-2.98,-1.3502,47075.97,1035666.177,泸州老窖
600809.SH,20230525,214.87,219.13,211.36,215.65,215.4,0.25,0.1161,61439.84,1322985.46,山西汾酒
600519.SH,20230525,1705.99,1710.0,1690.0,1701.0,1710.9,-9.9,-0.5786,22465.6,3814504.093,贵州茅台
002304.SZ,20230525,140.0,140.25,138.01,138.8,140.54,-1.74,-1.2381,52731.87,731554.349,洋河股份
000858.SZ,20230525,169.42,169.68,167.45,168.2,170.35,-2.15,-1.2621,143925.25,2421836.659,五粮液
000596.SZ,20230525,274.55,274.55,263.38,266.96,274.55,-7.59,-2.7645,13869.51,370105.201,古井贡酒
000568.SZ,20230525,215.8,218.88,213.35,216.6,217.72,-1.12,-0.5144,49190.75,1062789.231,泸州老窖
600809.SH,20230526,215.45,219.08,214.68,217.36,215.65,1.71,0.793,48347.27,1049359.656,山西汾酒
600519.SH,20230526,1702.0,1705.0,1675.01,1690.56,1701.0,-10.44,-0.6138,18291.1,3090691.546,贵州茅台
002304.SZ,20230526,139.35,139.8,138.06,138.66,138.8,-0.14,-0.1009,23655.07,328392.807,洋河股份
